team,country,year,events,athletes,age,height,weight,medals,prev_medals,prev_3_medals
AFG,Afghanistan,1964,8,8,22,161,64.2,0,0,0
AFG,Afghanistan,1968,5,5,23.2,170.2,70,0,0,0
AFG,Afghanistan,1972,8,8,29,168.3,63.8,0,0,0
AFG,Afghanistan,1980,11,11,23.6,168.4,63.2,0,0,0
AFG,Afghanistan,2004,5,5,18.6,170.8,64.8,0,0,0
AFG,Afghanistan,2008,4,4,22.5,179.2,62.8,1,0,0
AFG,Afghanistan,2012,6,6,24.8,171.7,60.8,1,1,0.3
AFG,Afghanistan,2016,3,3,24.7,173.7,74,0,1,0.7
AHO,Netherlands Antilles,1964,4,4,28.5,171.2,69.4,0,0,0
AHO,Netherlands Antilles,1968,4,5,31,173.2,67.8,0,0,0
AHO,Netherlands Antilles,1972,2,2,38.5,164,86,0,0,0
AHO,Netherlands Antilles,1976,4,4,27.3,174.5,66,0,0,0
AHO,Netherlands Antilles,1984,10,13,18.2,181.1,69.8,0,0,0
AHO,Netherlands Antilles,1988,4,4,25,193,80,1,0,0
AHO,Netherlands Antilles,1992,4,4,30.2,178,83.5,0,1,0.3
AHO,Netherlands Antilles,1996,7,7,30.1,178,83.2,0,0,0.3
AHO,Netherlands Antilles,2000,8,8,30.6,179.1,79.6,0,0,0.3
AHO,Netherlands Antilles,2004,3,3,32.3,183.7,80,0,0,0
AHO,Netherlands Antilles,2008,4,4,23,178.8,74.5,0,0,0
ALB,Albania,1992,8,9,25.3,163,75.2,0,,
ALB,Albania,1996,7,9,26.8,169,67.5,0,0,0
ALB,Albania,2000,5,5,31.2,167.8,62.9,0,0,0
ALB,Albania,2004,7,7,20.9,172.3,70.7,0,0,0
ALB,Albania,2008,12,12,27.2,173.4,74.8,0,0,0
ALB,Albania,2012,9,10,25.7,176.8,80.2,0,0,0
ALB,Albania,2016,6,6,23.7,176.2,67.2,0,0,0
ALG,Algeria,1964,7,7,26,175,65,0,,
ALG,Algeria,1968,9,9,25.8,169.8,61.2,0,0,0
ALG,Algeria,1972,5,7,22.7,173.2,63.5,0,0,0
ALG,Algeria,1980,28,63,23.4,175.4,69.2,0,0,0
ALG,Algeria,1984,17,33,24.3,176.8,73.3,2,0,0
ALG,Algeria,1988,29,45,24.6,176.2,72.8,0,2,0.7
ALG,Algeria,1992,27,36,23.8,170.4,63,2,0,0.7
ALG,Algeria,1996,29,47,24.2,176,70.2,3,2,1.3
ALG,Algeria,2000,42,51,24.9,174.3,67.9,5,3,1.7
ALG,Algeria,2004,57,71,25.1,173.6,67.6,0,5,3.3
ALG,Algeria,2008,44,57,25.2,177,70.8,2,0,2.7
ALG,Algeria,2012,29,39,24.8,174.3,66.9,1,2,2.3
ALG,Algeria,2016,48,74,24,174,68.4,2,1,1
